,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,
,Jmag (1.22u),Hmag (1.63u),Kmag (2.19u),3.4u,4.6u,5.8u,8u,12u,22u,24u,3.6u flux,4.5u flux,5.8u flux,9u flux,12u flux,18u flux,25u flux,60u flux,65u flux,90u flux,100u flux,140u flux,160u flux,class
151,6.319,5.388,4.981,4.837,4.769,,,4.665,4.242,,,,,0.7102,0.5897,0.2352,0.25,0.4,,,1.652,,,S-AGB
152,4.213,3.013,2.557,0.553,1.147,,,2.135,1.788,,,,,8.056,5.946,2.078,1.938,0.7376,0.2927,0.4717,1.952,1.518,0.8663,S-AGB
153,4.025,2.923,2.516,1.186,1.136,,,1.987,1.703,,,,,7.951,6.091,2.235,1.682,0.3537,,,1.009,,,S-AGB
154,7.081,5.961,5.353,4.71,4.438,,,3.745,3.232,,,,,1.249,0.9902,0.4272,0.3732,0.4175,,,7.187,,,S-AGB
155,7.502,6.315,5.722,5.257,5.387,,,5.036,4.85,,,,,0.4914,0.4851,0.1582,0.1738,0.5495,,,24.48,,,S-AGB
156,6.233,5.16,4.57,4.453,3.839,,,3.127,2.48,,,,,1.916,2.807,0.844,1.165,0.8289,,,10.08,,,S-AGB
157,5.099,4.249,3.835,2.606,3.396,,,3.192,2.498,,,,,2.638,2.258,0.9797,1.009,0.4748,,,1.098,,,S-AGB
158,5.135,4.065,3.635,7.139,6.689,,,7.374,5.774,,,,,4.135,3.46,1.406,1.413,0.6793,,,9.172,,,S-AGB
159,8.193,6.939,6.126,5.502,4.991,,,4.01,3.209,,,,,0.9696,2.723,0.5333,0.7317,1.158,,,10.33,,,S-AGB
160,5.442,4.56,4.235,4.091,3.922,,,3.982,3.784,,,,,1.387,1.196,0.4003,0.4262,0.4284,,,1.04,,,S-AGB
161,5.088,4.117,3.766,2.524,3.139,,,2.803,2.367,,,,,3.67,3.049,1.174,1.207,1.475,,,13.46,,,S-AGB
162,4.937,3.809,3.481,3.431,2.953,,,2.462,2.245,,,,,5.029,4.571,1.665,1.352,0.4412,,,1.76,,,S-AGB
163,6.083,5.136,4.679,4.481,4.338,,,4.376,4.032,,,,,0.982,0.784,0.3003,0.25,0.4,,,1.821,,,S-AGB
164,7.366,6.015,5.255,4.513,4.132,,,3.577,2.907,,,,,1.976,1.829,0.7654,0.7656,15.39,,,94.93,,,S-AGB
165,5.403,4.182,3.757,10.694,10.552,,,9.394,7.548,,,,,3.488,2.895,1.053,0.929,1.486,,,27.98,,,S-AGB
166,4.183,2.919,2.452,0.224,0.965,,,1.795,1.384,,,,,9.377,7.59,2.99,2.816,0.709,0.4236,0.3823,2.523,1.499,1.168,S-AGB
167,6.705,5.642,5.218,4.985,5.03,,,4.77,4.269,,,,,0.6808,0.6077,0.1942,0.7149,13.73,0.6853,1.29,165.3,2.644,5.185,S-AGB
168,4.882,4.096,3.798,,3.221,,,2.56,1.733,,,,,3.919,3.488,1.814,2.055,9.125,1.099,2.005,150.1,1.176,2.593,S-AGB
169,5.966,4.894,4.404,4.107,4.083,,,3.869,3.423,,,,,1.352,1.179,0.4329,0.4709,0.4,,,11.16,,,S-AGB
170,3.256,2.275,1.893,0.033,0.416,,,1.464,1.195,,,,,13.42,10.63,3.844,3.095,1.08,0.2949,0.6407,9.304,,1.182,S-AGB
